,Name,RAM,ROM,Extended_memory,Battery,Processor,Price
433,OPPO F19 Pro+ 5G,8,128,256,4310,MediaTek Dimensity 800U Processor,24990
434,OPPO F15,8,128,256,4000,MediaTek Helio P70 Processor,18990
435,SAMSUNG Galaxy M21,6,128,512,6000, Exynos 9611Octa Core processor Processor,15990
436,SAMSUNG Galaxy S20 FE,8,128,1,4500,Exynos Octa Core Processor,37990
437,ViVO V15 Pro,8,128,256,3700,Qualcomm Snapdragon 675AIE Octa Core 20GHz Processor,28499
438,Nokia 5.1 Plus,3,32,400,3060,MediaTek Helio P60 Processor,13199
439,SAMSUNG Galaxy A70s,8,128,512,4500,Qualcomm SM6150 Processor,33100
440,Redmi Note 8,6,128,512,4000,Qualcomm Snapdragon 665 Processor,15890
441,Redmi K20 Pro,6,128,0,4000,Qualcomm Snapdragon 855 Processor,28999
442,Nokia 2.4,3,64,512,4500,MediaTek Helio P22 Processor,10399
443,SAMSUNG Galaxy S21 Plus,8,128,0,4800,Exynos 2100 Processor,71999
444,ViVO V17,8,128,256,4500,Qualcomm Snapdragon 675AIE Processor,27990
445,ViVO Y81,3,32,256,3260,MT6762 Octa Core Helio P22 Processor,13990
446,ViVO Y95,4,64,256,4030,Qualcomm Snapdragon 439 Processor,18990
447,OPPO F5,6,64,256,3200,Mediatek MT6763T Octa Core 25 GHz Processor,24990
448,Micromax Dual 4,4,64,128,2730,Snapdragon 435 Processor,19999
449,Honor 9N,4,128,256,3000,Kirin 659 Octa Core Processor,19999
450,Honor 9N,4,64,256,3000,Kirin 659 Octa Core Processor,15999
451,ViVO Y69,3,32,256,3000,Mediatek MT6750 Octa Core 15GHz Processor,14990
452,Redmi Note 5 Pro,4,64,128,4000,Qualcomm Snapdragon 636 Processor,14999
453,Redmi Y3,3,32,512,4000,Qualcomm Snapdragon 632 Processor,10490
454,Redmi Y3,3,32,512,4000,Qualcomm Snapdragon 632 Processor,10190
455,SAMSUNG Galaxy S10,8,128,512,3400,Exynos 9 9820 Processor,71000
456,Mi A2,6,128,0,3010,Qualcomm Snapdragon 660 AIE Processor,20500
457,ViVO X50,8,256,0,4200,Qualcomm Snapdragon 730 Processor,37990
458,ViVO X50,8,128,0,4200,Qualcomm Snapdragon 730 Processor,34990
459,ViVO X50,8,256,0,4200,Qualcomm Snapdragon 730 Processor,37990
460,ViVO X50,8,128,0,4200,Qualcomm Snapdragon 730 Processor,34990
461,ViVO X50,8,128,0,4200,Qualcomm Snapdragon 730 Processor,34990
462,ViVO X50,8,256,0,4200,Qualcomm Snapdragon 730 Processor,37990
463,SAMSUNG Galaxy Note 20,8,256,0,4300,Exynos Octa Core Processor,77999
464,Honor 8,4,32,128,3000,ARM Hisilicon Kirin 950  ARM Cortex A72  ARM Cortex A53 Octa Core 23GHz Processor,29999
465,OPPO A7,3,64,256,4230,Qualcomm Snapdragon 450 Processor,13999
466,Redmi 9,4,64,0,5000,MediaTek Helio G35 Processor,10999
467,SAMSUNG Galaxy S9 Plus,6,64,400,3500,Exynos 9810 Processor,70000
468,ViVO Y91i,2,16,256,4030,MTK Helio P22 Processor,10073
469,SAMSUNG Galaxy S21 Ultra,12,256,0,5000,Exynos 2100 Processor,105999
470,Redmi Note 7,4,64,256,4000,Qualcomm Snapdragon 660 AIE Processor,12999
471,Redmi Note 7,4,64,256,4000,Qualcomm Snapdragon 660 AIE Processor,13999
472,ViVO V11 Pro,6,64,256,3400,20 GHz Qualcomm Snapdragon 660 AIE Processor,28990
473,Redmi Note 7 Pro,6,128,256,4000,Qualcomm Snapdragon 675 Processor,15990
474,Mi 11X Pro 5G,8,256,0,4520,Qualcomm Snapdragon 888 Processor,44000
475,LG Velvet Dual Screen,6,128,2,4300,Qualcomm Snapdragon 845 Processor,55000
476,SAMSUNG Galaxy S9 Plus,6,64,400,3500,Exynos 9810 Processor,70000
477,Nokia 5,2,16,128,3000,Qualcomm Snapdragon 430 Processor,11990
478,GIONEE F103 Pro,3,16,128,2400,Mediatek MT6735 Quad Core 13GHz Processor,10999
479,OPPO F9,4,64,256,3500,Mediatek Helio P60 Octacore 20 GHz Processor,17890
480,Maplin Pro 5G,4,64,128,5000,Snapdragon Processor,12998
481,Mi A3,6,128,256,4030,Qualcomm Snapdragon 665 Processor,17499
482,ViVO Y11,3,32,0,5000,SDM439 Processor,11999
483,Redmi Note 5 Pro,4,64,128,4000,Qualcomm Snapdragon 636 Processor,11490
484,Redmi K20,6,128,0,4000,Qualcomm Snapdragon 730 Processor,24999
485,Redmi Note 9 Pro,4,128,512,5020,Qualcomm Snapdragon 720G Processor,17999
486,Redmi Note 5 Pro,6,64,128,4000,Qualcomm Snapdragon 636 Processor,16999
487,SAMSUNG Galaxy A21s,4,64,512,5000,Exynos 850 Octa Core Processor,17999
488,ViVO Y30,4,128,256,5000,MediaTek Helio P35 Processor,14970
489,Nokia 2.4,3,64,512,4500,MediaTek Helio P22 Processor,10399
490,GIONEE A1,4,64,256,4010,MediaTek MT6755 Helio P10 Octa Core 20GHz Processor,15500
491,Nokia 5.3,6,64,0,4000,Qualcomm Snapdragon 665 Processor,13299
492,LG V30+,4,128,2,3300,Qualcomm Snapdragon 835 Processor,60000
493,LG V30+,4,128,2,3300,Qualcomm Snapdragon 835 Processor,60000
494,Mi A3,6,128,256,4030,Qualcomm Snapdragon 665 Processor,17440
495,SAMSUNG Galaxy M30s,4,64,512,6000,Exynos 9611 Processor,14990
496,SAMSUNG Galaxy M30s,6,128,512,6000,Exynos 9611 Processor,16990
497,SAMSUNG Galaxy S10,8,512,512,3400,Exynos 9 9820 Processor,92000
498,SAMSUNG Galaxy Note 20,8,256,0,4300,Exynos Octa Core Processor,77999
499,Redmi Note 8,4,64,512,4000,Qualcomm Snapdragon 665 Processor,13499
500,ViVO Y20,4,64,256,5000,Qualcomm Snapdragon 460 Processor,12990
501,Mi A2,4,64,0,3010,Qualcomm Snapdragon 660 AIE Processor,10999
502,Redmi Note 8,4,64,512,4000,Qualcomm Snapdragon 665 Processor,13499
503,Honor 9N,4,128,256,3000,Kirin 659 Octa Core Processor,19999
504,SAMSUNG Galaxy S9,4,64,400,3000,Exynos 9810 Processor,62500
505,ViVO Y95,4,64,256,4030,Qualcomm Snapdragon 439 Processor,18990
506,SAMSUNG Galaxy S9,4,64,400,3000,Exynos 9810 Processor,62500
507,ViVO Y95,4,64,256,4030,Qualcomm Snapdragon 439 Processor,18990
